Identifier,Index,Title,Description,DimensionGroupId
H008645,127,Kameroen,"Kameroen, Brits-Kameroen, Frans-Kameroen.",5
H008646,128,Kanaaleilanden,,3
H008647,129,Katar,,7
H008648,130,Kazachstan,"Nieuw land ontstaan uit de opsplitsing van de Sovjet-Unie in 1991. 
In de registers die het CBS gebruikt wordt dit land pas sinds deze opsplitsing apart onderscheiden. 
Voor bevolkingscijfers geldt: 
Tot en met 2020: alleen personen die na de opsplitsing zijn geboren worden tot dit herkomstland gerekend. 
Vanaf 2021: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Sovjet-Unie tot dit herkomstland gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt. 
Voor bevolkingsontwikkeling geldt: 
Tot en met 2019: alleen personen die na de opsplitsing zijn geboren worden tot dit herkomstland gerekend. 
Vanaf 2020: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Sovjet-Unie tot dit herkomstland gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.",7
H008649,131,Kenia,"Kenia, Brits Oost-Afrika.",5
H008650,132,Kirgizië,"Nieuw land ontstaan uit de opsplitsing van de Sovjet-Unie in 1991. 
In de registers die het CBS gebruikt wordt dit land pas sinds deze opsplitsing apart onderscheiden. 
Voor bevolkingscijfers geldt: 
Tot en met 2020: alleen personen die na de opsplitsing zijn geboren worden tot dit herkomstland gerekend. 
Vanaf 2021: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Sovjet-Unie tot dit herkomstland gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt. 
Voor bevolkingsontwikkeling geldt: 
Tot en met 2019: alleen personen die na de opsplitsing zijn geboren worden tot dit herkomstland gerekend. 
Vanaf 2020: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden ook personen geboren in de voormalige Sovjet-Unie tot dit herkomstland gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.",7
H008651,133,Kiribati,"Kiribati, Canton en Enderbury, Gilberteilanden, Gilbert en Elice-Eilanden, Phoenixeilanden.",6
H008652,134,Koeweit,,7
H008653,135,Kosovo,"Nieuw land ontstaan door afsplitsing van Servië in 2008. 
In de registers die het CBS gebruikt wordt dit land pas sinds deze afsplitsing apart onderscheiden. 
Voor bevolkingscijfers geldt: 
Tot en met 2020: alleen personen die na de afsplitsing zijn geboren worden tot dit herkomstland gerekend. 
Vanaf 2021: in de voorlopige cijfers worden alleen personen die na de afsplitsing zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden ook personen geboren in het voormalige Joegoslavië, de Federale Republiek Joegoslavië, Servië en Montenegro en Servië tot dit herkomstland gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt. 
Voor bevolkingsontwikkeling geldt: 
Tot en met 2019: alleen personen die na de afsplitsing zijn geboren worden tot dit herkomstland gerekend. 
Vanaf 2020: in de voorlopige cijfers worden alleen personen die na de afsplitsing zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden ook personen geboren in het voormalige Joegoslavië, de Federale Republiek Joegoslavië, Servië en Montenegro en Servië tot dit herkomstland gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.",3
H008654,136,Kroatië,"Nieuw land ontstaan uit de opsplitsing van Joegoslavië in 1991/'92. 
In de registers die het CBS gebruikt wordt dit land pas sinds deze opsplitsing apart onderscheiden. 
Voor bevolkingscijfers geldt: 
Tot en met 2020: alleen personen die na de opsplitsing zijn geboren worden tot dit herkomstland gerekend. 
Vanaf 2021: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden ook personen geboren in het voormalige Joegoslavië tot dit herkomstland gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt. 
Voor bevolkingsontwikkeling geldt: 
Tot en met 2019: alleen personen die na de opsplitsing zijn geboren worden tot dit herkomstlandgerekend. 
Vanaf 2020: in de voorlopige cijfers worden alleen personen die na de opsplitsing zijn geboren tot dit herkomstland gerekend. In de definitieve cijfers worden ook personen geboren in het voormalige Joegoslavië tot dit herkomstland gerekend als hun geboorteplaats daar volgens de huidige landgrenzen ligt.",3
H008655,137,Laos,,7
H008656,138,Lesotho,"Lesotho, Basutoland.",5
