freq,s_adj,age,unit,sex,geo,time,value
M,SA,TOTAL,PC_ACT,T,NL,1995-01,8.0
M,SA,TOTAL,PC_ACT,T,NL,1995-02,8.1
M,SA,TOTAL,PC_ACT,T,NL,1995-03,8.2
M,SA,TOTAL,PC_ACT,T,NL,1995-04,8.3
M,SA,TOTAL,PC_ACT,T,NL,1995-05,8.4
M,SA,TOTAL,PC_ACT,T,NL,1995-06,8.4
M,SA,TOTAL,PC_ACT,T,NL,1995-07,8.4
M,SA,TOTAL,PC_ACT,T,NL,1995-08,8.4
M,SA,TOTAL,PC_ACT,T,NL,1995-09,8.4
M,SA,TOTAL,PC_ACT,T,NL,1995-10,8.4
M,SA,TOTAL,PC_ACT,T,NL,1995-11,8.3
M,SA,TOTAL,PC_ACT,T,NL,1995-12,8.3
M,SA,TOTAL,PC_ACT,T,NL,1996-01,8.2
M,SA,TOTAL,PC_ACT,T,NL,1996-02,8.1
M,SA,TOTAL,PC_ACT,T,NL,1996-03,8.0
M,SA,TOTAL,PC_ACT,T,NL,1996-04,7.9
M,SA,TOTAL,PC_ACT,T,NL,1996-05,7.8
M,SA,TOTAL,PC_ACT,T,NL,1996-06,7.7
M,SA,TOTAL,PC_ACT,T,NL,1996-07,7.6
M,SA,TOTAL,PC_ACT,T,NL,1996-08,7.5
M,SA,TOTAL,PC_ACT,T,NL,1996-09,7.4
M,SA,TOTAL,PC_ACT,T,NL,1996-10,7.3
M,SA,TOTAL,PC_ACT,T,NL,1996-11,7.2
M,SA,TOTAL,PC_ACT,T,NL,1996-12,7.1
M,SA,TOTAL,PC_ACT,T,NL,1997-01,7.0
M,SA,TOTAL,PC_ACT,T,NL,1997-02,6.9
M,SA,TOTAL,PC_ACT,T,NL,1997-03,6.8
M,SA,TOTAL,PC_ACT,T,NL,1997-04,6.7
M,SA,TOTAL,PC_ACT,T,NL,1997-05,6.6
M,SA,TOTAL,PC_ACT,T,NL,1997-06,6.5
M,SA,TOTAL,PC_ACT,T,NL,1997-07,6.4
M,SA,TOTAL,PC_ACT,T,NL,1997-08,6.3
M,SA,TOTAL,PC_ACT,T,NL,1997-09,6.2
M,SA,TOTAL,PC_ACT,T,NL,1997-10,6.1
M,SA,TOTAL,PC_ACT,T,NL,1997-11,5.9
