Id,Measure,ValueAttribute,Value,StringValue,Generatie,Geslacht,Migratieachtergrond,Perioden
505344,M000167,None,481.0,,T001040,T001038,H008567,2018MM01
505350,M000167,None,501.0,,T001040,T001038,H008567,2018MM02
505356,M000167,None,455.0,,T001040,T001038,H008567,2018MM03
505362,M000167,None,423.0,,T001040,T001038,H008567,2018MM04
505368,M000167,None,461.0,,T001040,T001038,H008567,2018MM05
505374,M000167,None,418.0,,T001040,T001038,H008567,2018MM06
505380,M000167,None,402.0,,T001040,T001038,H008567,2018MM07
505386,M000167,None,773.0,,T001040,T001038,H008567,2018MM08
505392,M000167,None,833.0,,T001040,T001038,H008567,2018MM09
505398,M000167,None,743.0,,T001040,T001038,H008567,2018MM10
505404,M000167,None,684.0,,T001040,T001038,H008567,2018MM11
505410,M000167,None,476.0,,T001040,T001038,H008567,2018MM12
505422,M000167,None,641.0,,T001040,T001038,H008567,2019MM01
505428,M000167,None,634.0,,T001040,T001038,H008567,2019MM02
505434,M000167,None,619.0,,T001040,T001038,H008567,2019MM03
505440,M000167,None,599.0,,T001040,T001038,H008567,2019MM04
505446,M000167,None,583.0,,T001040,T001038,H008567,2019MM05
505452,M000167,None,569.0,,T001040,T001038,H008567,2019MM06
505458,M000167,None,610.0,,T001040,T001038,H008567,2019MM07
505464,M000167,None,998.0,,T001040,T001038,H008567,2019MM08
505470,M000167,None,1215.0,,T001040,T001038,H008567,2019MM09
505476,M000167,None,864.0,,T001040,T001038,H008567,2019MM10
505482,M000167,None,768.0,,T001040,T001038,H008567,2019MM11
505488,M000167,None,546.0,,T001040,T001038,H008567,2019MM12
505500,M000167,None,743.0,,T001040,T001038,H008567,2020MM01
505506,M000167,None,683.0,,T001040,T001038,H008567,2020MM02
505512,M000167,None,602.0,,T001040,T001038,H008567,2020MM03
505518,M000167,None,436.0,,T001040,T001038,H008567,2020MM04
505524,M000167,None,591.0,,T001040,T001038,H008567,2020MM05
505530,M000167,None,690.0,,T001040,T001038,H008567,2020MM06
505536,M000167,None,674.0,,T001040,T001038,H008567,2020MM07
505542,M000167,None,859.0,,T001040,T001038,H008567,2020MM08
505548,M000167,None,1248.0,,T001040,T001038,H008567,2020MM09
505554,M000167,None,797.0,,T001040,T001038,H008567,2020MM10
505560,M000167,None,658.0,,T001040,T001038,H008567,2020MM11
505566,M000167,None,563.0,,T001040,T001038,H008567,2020MM12
505578,M000167,None,703.0,,T001040,T001038,H008567,2021MM01
505584,M000167,None,773.0,,T001040,T001038,H008567,2021MM02
505590,M000167,None,728.0,,T001040,T001038,H008567,2021MM03
505596,M000167,None,578.0,,T001040,T001038,H008567,2021MM04
505602,M000167,None,603.0,,T001040,T001038,H008567,2021MM05
505608,M000167,None,584.0,,T001040,T001038,H008567,2021MM06
505614,M000167,None,535.0,,T001040,T001038,H008567,2021MM07
505620,M000167,None,964.0,,T001040,T001038,H008567,2021MM08
505626,M000167,None,1411.0,,T001040,T001038,H008567,2021MM09
505632,M000167,None,973.0,,T001040,T001038,H008567,2021MM10
505638,M000167,None,915.0,,T001040,T001038,H008567,2021MM11
505644,M000167,None,780.0,,T001040,T001038,H008567,2021MM12
505656,M000167,None,825.0,,T001040,T001038,H008567,2022MM01
505662,M000167,None,881.0,,T001040,T001038,H008567,2022MM02
505668,M000167,None,835.0,,T001040,T001038,H008567,2022MM03
505674,M000167,None,751.0,,T001040,T001038,H008567,2022MM04
505680,M000167,None,765.0,,T001040,T001038,H008567,2022MM05
505686,M000167,None,826.0,,T001040,T001038,H008567,2022MM06
505692,M000167,None,618.0,,T001040,T001038,H008567,2022MM07
505698,M000167,None,1221.0,,T001040,T001038,H008567,2022MM08
505704,M000167,None,1414.0,,T001040,T001038,H008567,2022MM09
505710,M000167,None,1023.0,,T001040,T001038,H008567,2022MM10
505716,M000167,None,1035.0,,T001040,T001038,H008567,2022MM11
505722,M000167,None,697.0,,T001040,T001038,H008567,2022MM12
505734,M000167,None,830.0,,T001040,T001038,H008567,2023MM01
505740,M000167,None,910.0,,T001040,T001038,H008567,2023MM02
505746,M000167,None,977.0,,T001040,T001038,H008567,2023MM03
505752,M000167,None,732.0,,T001040,T001038,H008567,2023MM04
505758,M000167,None,798.0,,T001040,T001038,H008567,2023MM05
505764,M000167,None,823.0,,T001040,T001038,H008567,2023MM06
505770,M000167,None,610.0,,T001040,T001038,H008567,2023MM07
505776,M000167,None,1149.0,,T001040,T001038,H008567,2023MM08
505782,M000167,None,1199.0,,T001040,T001038,H008567,2023MM09
2126100,M000167,None,80.0,,T001040,T001038,H008718,1995MM01
2126106,M000167,None,69.0,,T001040,T001038,H008718,1995MM02
2126112,M000167,None,97.0,,T001040,T001038,H008718,1995MM03
2126118,M000167,None,65.0,,T001040,T001038,H008718,1995MM04
2126124,M000167,None,88.0,,T001040,T001038,H008718,1995MM05
2126130,M000167,None,114.0,,T001040,T001038,H008718,1995MM06
2126136,M000167,None,113.0,,T001040,T001038,H008718,1995MM07
2126142,M000167,None,152.0,,T001040,T001038,H008718,1995MM08
2126148,M000167,None,119.0,,T001040,T001038,H008718,1995MM09
2126154,M000167,None,135.0,,T001040,T001038,H008718,1995MM10
2126160,M000167,None,159.0,,T001040,T001038,H008718,1995MM11
2126166,M000167,None,83.0,,T001040,T001038,H008718,1995MM12
2126178,M000167,None,122.0,,T001040,T001038,H008718,1996MM01
2126184,M000167,None,124.0,,T001040,T001038,H008718,1996MM02
2126190,M000167,None,125.0,,T001040,T001038,H008718,1996MM03
2126196,M000167,None,117.0,,T001040,T001038,H008718,1996MM04
2126202,M000167,None,124.0,,T001040,T001038,H008718,1996MM05
2126208,M000167,None,97.0,,T001040,T001038,H008718,1996MM06
2126214,M000167,None,133.0,,T001040,T001038,H008718,1996MM07
2126220,M000167,None,124.0,,T001040,T001038,H008718,1996MM08
2126226,M000167,None,140.0,,T001040,T001038,H008718,1996MM09
2126232,M000167,None,170.0,,T001040,T001038,H008718,1996MM10
2126238,M000167,None,178.0,,T001040,T001038,H008718,1996MM11
2126244,M000167,None,94.0,,T001040,T001038,H008718,1996MM12
2126256,M000167,None,129.0,,T001040,T001038,H008718,1997MM01
2126262,M000167,None,113.0,,T001040,T001038,H008718,1997MM02
2126268,M000167,None,111.0,,T001040,T001038,H008718,1997MM03
2126274,M000167,None,135.0,,T001040,T001038,H008718,1997MM04
2126280,M000167,None,110.0,,T001040,T001038,H008718,1997MM05
2126286,M000167,None,115.0,,T001040,T001038,H008718,1997MM06
2126292,M000167,None,148.0,,T001040,T001038,H008718,1997MM07
2126298,M000167,None,129.0,,T001040,T001038,H008718,1997MM08
2126304,M000167,None,144.0,,T001040,T001038,H008718,1997MM09
2126310,M000167,None,150.0,,T001040,T001038,H008718,1997MM10
2126316,M000167,None,113.0,,T001040,T001038,H008718,1997MM11
2126322,M000167,None,116.0,,T001040,T001038,H008718,1997MM12
2126334,M000167,None,125.0,,T001040,T001038,H008718,1998MM01
2126340,M000167,None,116.0,,T001040,T001038,H008718,1998MM02
2126346,M000167,None,169.0,,T001040,T001038,H008718,1998MM03
2126352,M000167,None,134.0,,T001040,T001038,H008718,1998MM04
2126358,M000167,None,106.0,,T001040,T001038,H008718,1998MM05
2126364,M000167,None,131.0,,T001040,T001038,H008718,1998MM06
2126370,M000167,None,122.0,,T001040,T001038,H008718,1998MM07
2126376,M000167,None,137.0,,T001040,T001038,H008718,1998MM08
2126382,M000167,None,252.0,,T001040,T001038,H008718,1998MM09
2126388,M000167,None,169.0,,T001040,T001038,H008718,1998MM10
2126394,M000167,None,126.0,,T001040,T001038,H008718,1998MM11
2126400,M000167,None,127.0,,T001040,T001038,H008718,1998MM12
2126412,M000167,None,78.0,,T001040,T001038,H008718,1999MM01
2126418,M000167,None,90.0,,T001040,T001038,H008718,1999MM02
2126424,M000167,None,92.0,,T001040,T001038,H008718,1999MM03
2126430,M000167,None,89.0,,T001040,T001038,H008718,1999MM04
2126436,M000167,None,83.0,,T001040,T001038,H008718,1999MM05
2126442,M000167,None,99.0,,T001040,T001038,H008718,1999MM06
2126448,M000167,None,86.0,,T001040,T001038,H008718,1999MM07
2126454,M000167,None,94.0,,T001040,T001038,H008718,1999MM08
2126460,M000167,None,184.0,,T001040,T001038,H008718,1999MM09
2126466,M000167,None,115.0,,T001040,T001038,H008718,1999MM10
2126472,M000167,None,116.0,,T001040,T001038,H008718,1999MM11
2126478,M000167,None,86.0,,T001040,T001038,H008718,1999MM12
2126490,M000167,None,168.0,,T001040,T001038,H008718,2000MM01
2126496,M000167,None,185.0,,T001040,T001038,H008718,2000MM02
2126502,M000167,None,158.0,,T001040,T001038,H008718,2000MM03
2126508,M000167,None,106.0,,T001040,T001038,H008718,2000MM04
2126514,M000167,None,172.0,,T001040,T001038,H008718,2000MM05
2126520,M000167,None,120.0,,T001040,T001038,H008718,2000MM06
2126526,M000167,None,135.0,,T001040,T001038,H008718,2000MM07
